feedback_id,customer_id,feedback_text,feedback_date,service_impacted,rating
44,127,I've had recurring issues with Neon's mobile app—it keeps crashing,2023-06-14,,3
45,528,forcing me to rely on Wi-Fi,2023-10-18,Streaming,4
46,370,making it difficult to manage my account on the go.,2023-08-21,Streaming,3
47,170,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2023-10-01,Streaming,1
48,299,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2023-01-16,Broadband,4
49,477,Neon's signal quality indoors is often weak,2023-08-09,Broadband,4
50,328,Neon's pricing is becoming prohibitive,2023-03-30,Mobile,5
51,444,Ever since Neon updated their network in my area,2023-02-28,Mobile,4
52,372,forcing me to rely on Wi-Fi,2023-02-12,Broadband,3
53,823,Neon's response to my lost phone situation was above and beyond—I had a new device and was back up and running in no time.,2023-10-01,Mobile,1
54,3,forcing me to rely on Wi-Fi,2023-10-07,Mobile,5
55,234,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2023-05-29,Broadband,3
56,718,forcing me to rely on Wi-Fi,2022-11-12,Streaming,
57,802,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-06-09,Streaming,3
58,806,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-06-06,Streaming,1
59,522,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2023-06-28,Streaming,3
60,354,Neon's response to my lost phone situation was above and beyond—I had a new device and was back up and running in no time.,2022-11-24,Broadband,1
61,116,and there are no significant benefits for long-term customers like me.,2023-03-02,Streaming,
62,422,Neon's signal quality indoors is often weak,2023-09-15,Broadband,4
63,603,Neon's pricing is becoming prohibitive,2023-08-08,,4
64,832,Ever since Neon updated their network in my area,2023-03-11,Streaming,2
65,55,I've enjoyed blazing-fast internet speeds on all my devices.,2023-07-07,Streaming,2
66,601,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2023-06-25,Mobile,4
67,215,and there are no significant benefits for long-term customers like me.,2023-04-12,Broadband,4
68,237,Despite the quality service,2023-08-12,Mobile,1
69,703,Neon's signal quality indoors is often weak,2023-09-14,Broadband,2
70,432,Ever since Neon updated their network in my area,2023-08-27,Broadband,3
71,87,forcing me to rely on Wi-Fi,2023-03-11,Broadband,5
72,591,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-10-10,Mobile,1
73,886,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-06-05,Mobile,
74,892,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2023-09-02,Streaming,1
75,272,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2022-12-21,,2
76,113,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2023-02-24,Mobile,1
77,548,Neon's response to my lost phone situation was above and beyond—I had a new device and was back up and running in no time.,2023-09-09,Streaming,4
78,511,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2023-04-11,Streaming,5
79,330,I've enjoyed blazing-fast internet speeds on all my devices.,2023-02-16,Mobile,2
80,935,Neon's 24/7 customer support has never let me down—there's always someone ready to help,2023-07-31,Mobile,1
81,507,no matter the hour.,2023-06-23,Streaming,3
82,252,I've had recurring issues with Neon's mobile app—it keeps crashing,2022-11-15,Mobile,4
83,968,and there are no significant benefits for long-term customers like me.,2023-10-30,Mobile,3
84,228,Neon's signal quality indoors is often weak,2023-09-13,Broadband,4
85,465,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2022-11-07,Mobile,2
86,569,Despite the quality service,2022-11-17,Broadband,3
87,662,Despite the quality service,2023-09-09,Broadband,2
88,459,Neon's pricing is becoming prohibitive,2022-11-08,Broadband,1
89,781,Neon's pricing is becoming prohibitive,2022-12-28,Broadband,2
90,1000,making it difficult to manage my account on the go.,2023-09-29,Streaming,5
91,932,Neon's response to my lost phone situation was above and beyond—I had a new device and was back up and running in no time.,2022-12-01,Broadband,1
92,862,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2023-07-03,Broadband,5
93,47,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-07-31,Broadband,4
94,155,I've enjoyed blazing-fast internet speeds on all my devices.,2023-04-04,Streaming,1
95,938,and there are no significant benefits for long-term customers like me.,2023-03-16,Broadband,2
96,999,and there are no significant benefits for long-term customers like me.,2022-12-09,Streaming,5
97,161,Neon's signal quality indoors is often weak,2023-04-19,Streaming,5
98,918,Neon's signal quality indoors is often weak,2023-07-20,Broadband,5
99,783,Ever since Neon updated their network in my area,2023-10-05,Mobile,4
100,241,Neon's signal quality indoors is often weak,2023-02-21,Broadband,3
101,348,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2023-10-14,Streaming,1
102,927,no matter the hour.,2023-03-23,Mobile,4
103,593,Despite the quality service,2023-01-23,Streaming,5
104,735,no matter the hour.,2023-01-31,Broadband,3
105,274,and there are no significant benefits for long-term customers like me.,2022-12-31,Streaming,4
106,9,Neon's pricing is becoming prohibitive,2022-12-23,Broadband,3
107,727,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2023-08-15,Mobile,4
108,47,Neon's pricing is becoming prohibitive,2023-09-22,Broadband,1
109,80,forcing me to rely on Wi-Fi,2022-12-25,Broadband,3
110,714,Neon's signal quality indoors is often weak,2022-11-09,Broadband,1
111,52,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2022-12-29,Mobile,5
112,479,Neon's response to my lost phone situation was above and beyond—I had a new device and was back up and running in no time.,2023-06-04,Streaming,3
113,268,Neon's pricing is becoming prohibitive,2023-10-21,Streaming,3
114,806,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-03-11,Mobile,5
115,409,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2022-11-16,Mobile,
116,958,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2022-12-10,Streaming,1
117,627,Neon's 24/7 customer support has never let me down—there's always someone ready to help,2023-04-22,Mobile,4
118,127,Neon's pricing is becoming prohibitive,2023-01-28,Streaming,5
119,250,and there are no significant benefits for long-term customers like me.,2023-06-17,Broadband,5
120,414,I've had recurring issues with Neon's mobile app—it keeps crashing,2023-02-05,Streaming,3
121,606,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2023-10-19,Broadband,1
122,125,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2023-07-03,Broadband,4
123,113,Neon's signal quality indoors is often weak,2023-05-10,Streaming,2
124,499,no matter the hour.,2023-08-19,,2
125,238,and there are no significant benefits for long-term customers like me.,2023-02-15,Mobile,4
126,652,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2022-12-27,Broadband,4
127,359,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2023-05-24,Broadband,3
128,70,Neon's 24/7 customer support has never let me down—there's always someone ready to help,2022-11-18,Mobile,2
129,993,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2023-09-05,Streaming,5
130,231,I've enjoyed blazing-fast internet speeds on all my devices.,2023-11-04,Broadband,5
131,822,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2023-05-09,Streaming,5
132,628,and there are no significant benefits for long-term customers like me.,2023-07-20,Broadband,4
133,381,making it difficult to manage my account on the go.,2023-02-10,Mobile,2
134,592,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-08-15,Mobile,1
135,192,making it difficult to manage my account on the go.,2023-08-23,Broadband,5
136,476,making it difficult to manage my account on the go.,2023-09-22,Mobile,1
137,949,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-06-25,Broadband,5
138,20,Neon's response to my lost phone situation was above and beyond—I had a new device and was back up and running in no time.,2023-05-11,Mobile,3
139,466,Ever since Neon updated their network in my area,2023-08-08,Broadband,3
140,773,no matter the hour.,2023-04-04,,3
141,359,Neon's 24/7 customer support has never let me down—there's always someone ready to help,2023-09-21,Mobile,2
142,155,forcing me to rely on Wi-Fi,2022-12-09,Mobile,2
143,453,no matter the hour.,2023-02-10,Mobile,1
144,995,no matter the hour.,2023-06-18,Mobile,3
145,73,Ever since Neon updated their network in my area,2023-07-26,Streaming,5
146,318,I've enjoyed blazing-fast internet speeds on all my devices.,2022-12-16,Streaming,3
147,766,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2023-03-08,Streaming,5
148,253,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2023-05-03,Mobile,5
149,448,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2023-03-05,Broadband,3
150,780,no matter the hour.,2023-04-10,Broadband,1
151,452,making it difficult to manage my account on the go.,2023-09-28,Streaming,4
152,713,Neon's response to my lost phone situation was above and beyond—I had a new device and was back up and running in no time.,2023-05-09,Broadband,1
153,762,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2023-08-26,Streaming,4
154,410,Neon's signal quality indoors is often weak,2023-05-25,Broadband,
155,557,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2022-11-27,Broadband,2
156,97,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2022-12-18,Broadband,3
157,131,Despite the quality service,2023-07-09,Broadband,5
158,604,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2023-08-03,Mobile,
159,927,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2022-11-18,Streaming,1
160,622,making it difficult to manage my account on the go.,2023-07-11,Mobile,2
161,949,Neon's pricing is becoming prohibitive,2023-09-27,Broadband,2
162,138,Neon's signal quality indoors is often weak,2023-02-05,Mobile,5
163,892,making it difficult to manage my account on the go.,2023-06-15,Streaming,1
164,333,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2023-09-18,Mobile,1
165,953,I've had recurring issues with Neon's mobile app—it keeps crashing,2023-06-05,Streaming,5
166,223,Neon's pricing is becoming prohibitive,2023-02-19,Mobile,5
167,973,I've enjoyed blazing-fast internet speeds on all my devices.,2023-08-10,Mobile,4
168,986,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2022-12-19,Mobile,3
169,960,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2023-06-18,Mobile,5
170,632,I've had recurring issues with Neon's mobile app—it keeps crashing,2023-06-21,Mobile,3
171,827,making it difficult to manage my account on the go.,2023-10-08,Streaming,3
172,188,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-04-26,Streaming,3
173,93,forcing me to rely on Wi-Fi,2022-12-10,Broadband,2
174,244,Neon's 24/7 customer support has never let me down—there's always someone ready to help,2023-02-22,Broadband,5
175,766,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2023-07-16,Streaming,4
176,27,forcing me to rely on Wi-Fi,2023-03-23,Streaming,5
177,843,Neon's response to my lost phone situation was above and beyond—I had a new device and was back up and running in no time.,2023-02-16,Streaming,5
178,359,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2023-10-20,Broadband,2
179,316,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2022-12-07,Broadband,2
180,792,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2022-11-12,Streaming,5
181,867,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2022-12-24,Streaming,2
182,722,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2023-07-15,Broadband,1
183,360,Neon's signal quality indoors is often weak,2022-12-28,Streaming,5
184,856,Neon's 24/7 customer support has never let me down—there's always someone ready to help,2022-12-16,Broadband,4
185,730,making it difficult to manage my account on the go.,2023-06-16,Mobile,3
186,702,Neon's 24/7 customer support has never let me down—there's always someone ready to help,2023-03-12,Streaming,3
187,916,and there are no significant benefits for long-term customers like me.,2023-03-20,Mobile,1
188,817,Despite the quality service,2023-03-13,Streaming,4
189,870,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2023-08-28,Streaming,5
190,344,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2023-07-12,Mobile,3
191,747,making it difficult to manage my account on the go.,2023-09-26,Streaming,5
192,741,making it difficult to manage my account on the go.,2023-09-14,Broadband,1
193,434,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2022-12-01,Streaming,3
194,419,no matter the hour.,2023-08-20,Broadband,1
195,785,Neon's pricing is becoming prohibitive,2023-05-24,Mobile,3
196,273,and there are no significant benefits for long-term customers like me.,2023-02-01,Broadband,2
197,546,Ever since Neon updated their network in my area,2023-01-13,,2
198,661,Despite the quality service,2023-06-18,Streaming,1
199,371,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-09-12,Mobile,5
200,532,and there are no significant benefits for long-term customers like me.,2023-03-07,Mobile,1
201,834,Neon's signal quality indoors is often weak,2022-11-26,Mobile,4
202,303,Neon's signal quality indoors is often weak,2022-11-26,Mobile,4
203,602,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2023-06-28,Mobile,1
204,66,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2022-11-25,Mobile,4
205,314,Ever since Neon updated their network in my area,2023-02-13,Streaming,2
206,145,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2023-05-12,Streaming,1
207,766,I've enjoyed blazing-fast internet speeds on all my devices.,2023-05-02,Streaming,1
208,347,Neon's response to my lost phone situation was above and beyond—I had a new device and was back up and running in no time.,2023-07-03,Broadband,4
209,875,and there are no significant benefits for long-term customers like me.,2023-06-30,Mobile,4
210,518,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2023-09-09,Streaming,3
211,71,Ever since Neon updated their network in my area,2023-03-22,Streaming,2
212,76,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2023-06-01,Broadband,1
213,300,I've enjoyed blazing-fast internet speeds on all my devices.,2023-05-10,Streaming,4
214,605,Despite the quality service,2023-10-05,Broadband,
215,230,Despite the quality service,2023-06-22,Broadband,4
216,993,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2023-10-27,Mobile,3
217,443,I've enjoyed blazing-fast internet speeds on all my devices.,2023-09-23,Mobile,3
218,772,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2022-11-17,Broadband,2
219,565,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2022-11-24,Streaming,3
220,40,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-10-09,Streaming,1
221,559,forcing me to rely on Wi-Fi,2023-01-12,Mobile,1
222,856,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2023-08-02,Streaming,4
223,765,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-03-16,Broadband,4
224,120,Ever since Neon updated their network in my area,2023-07-21,Mobile,3
225,123,I've enjoyed blazing-fast internet speeds on all my devices.,2023-05-22,Broadband,3
226,471,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2023-05-22,Mobile,5
227,367,Despite the quality service,2023-05-11,Broadband,2
228,368,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2023-07-15,Streaming,4
229,497,Ever since Neon updated their network in my area,2023-08-05,Streaming,4
230,681,Neon's response to my lost phone situation was above and beyond—I had a new device and was back up and running in no time.,2023-02-10,Streaming,2
231,860,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2023-10-28,Streaming,3
232,383,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2023-06-16,Mobile,2
233,70,making it difficult to manage my account on the go.,2023-07-18,Mobile,2
234,958,forcing me to rely on Wi-Fi,2023-08-02,Streaming,4
235,817,Neon's signal quality indoors is often weak,2023-05-24,Streaming,5
236,862,Despite the quality service,2023-03-02,Mobile,1
237,447,and there are no significant benefits for long-term customers like me.,2023-05-23,Mobile,1
238,615,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2023-10-10,Mobile,2
239,714,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2023-10-12,Broadband,2
240,34,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-07-13,Streaming,1
241,663,Despite the quality service,2023-07-24,Streaming,
242,238,I've enjoyed blazing-fast internet speeds on all my devices.,2023-04-30,Broadband,4
243,544,Neon's 24/7 customer support has never let me down—there's always someone ready to help,2023-03-29,Mobile,4
244,753,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2023-06-11,Mobile,4
245,275,Neon's 24/7 customer support has never let me down—there's always someone ready to help,2023-04-05,Streaming,2
246,719,and there are no significant benefits for long-term customers like me.,2023-02-22,Broadband,2
247,470,no matter the hour.,2023-04-19,Mobile,1
248,873,I've enjoyed blazing-fast internet speeds on all my devices.,2023-03-09,Streaming,3
249,334,making it difficult to manage my account on the go.,2023-10-11,,5
250,393,Neon's response to my lost phone situation was above and beyond—I had a new device and was back up and running in no time.,2022-11-10,Mobile,2
251,896,Neon's 24/7 customer support has never let me down—there's always someone ready to help,2022-12-25,Broadband,5
252,681,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2023-08-30,Mobile,2
253,149,I've enjoyed blazing-fast internet speeds on all my devices.,2023-02-09,Mobile,1
254,930,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-06-06,Streaming,1
255,594,Despite the quality service,2023-04-18,Broadband,4
256,777,no matter the hour.,2023-10-31,Broadband,1
257,244,I've enjoyed blazing-fast internet speeds on all my devices.,2023-09-07,Broadband,3
258,54,Ever since Neon updated their network in my area,2023-02-22,Mobile,5
259,786,Neon's signal quality indoors is often weak,2023-07-14,Broadband,1
260,951,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-02-03,Streaming,2
261,171,Neon's 24/7 customer support has never let me down—there's always someone ready to help,2023-01-23,Broadband,4
262,344,forcing me to rely on Wi-Fi,2023-07-12,Streaming,1
263,700,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-01-25,Streaming,1
264,168,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2022-12-23,Streaming,3
265,627,no matter the hour.,2023-05-11,Mobile,1
266,666,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2023-10-13,Mobile,
267,883,I've had recurring issues with Neon's mobile app—it keeps crashing,2023-10-30,Mobile,1
268,38,Neon's signal quality indoors is often weak,2023-02-15,Broadband,4
269,961,forcing me to rely on Wi-Fi,2023-03-24,Mobile,3
270,783,I've had recurring issues with Neon's mobile app—it keeps crashing,2023-05-04,Streaming,5
271,618,no matter the hour.,2023-04-24,Streaming,5
272,800,making it difficult to manage my account on the go.,2023-07-21,Streaming,5
273,497,Ever since Neon updated their network in my area,2023-03-06,Mobile,5
274,1,Neon's 24/7 customer support has never let me down—there's always someone ready to help,2023-05-19,Broadband,1
275,417,making it difficult to manage my account on the go.,2023-10-24,Mobile,5
276,991,and there are no significant benefits for long-term customers like me.,2022-12-26,Streaming,5
277,220,Ever since Neon updated their network in my area,2023-07-23,Broadband,1
278,431,Ever since Neon updated their network in my area,2023-01-12,Mobile,5
279,219,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2023-08-01,Broadband,5
280,74,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-02-12,Mobile,1
281,424,forcing me to rely on Wi-Fi,2022-12-23,Streaming,2
282,64,Neon's pricing is becoming prohibitive,2022-12-21,Mobile,1
283,534,forcing me to rely on Wi-Fi,2023-01-21,Broadband,4
284,686,forcing me to rely on Wi-Fi,2023-07-12,Broadband,1
285,65,no matter the hour.,2022-11-18,Broadband,1
286,770,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2023-09-06,Mobile,3
287,584,I've had recurring issues with Neon's mobile app—it keeps crashing,2023-09-09,Streaming,4
288,574,Ever since Neon updated their network in my area,2023-09-19,Broadband,4
289,281,forcing me to rely on Wi-Fi,2022-12-30,Broadband,3
290,812,I've enjoyed blazing-fast internet speeds on all my devices.,2023-11-03,Streaming,2
291,632,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2023-01-16,Broadband,3
292,753,Ever since Neon updated their network in my area,2023-04-22,Broadband,5
293,551,Neon's 24/7 customer support has never let me down—there's always someone ready to help,2023-01-31,Mobile,1
294,944,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2023-01-12,Streaming,1
295,600,forcing me to rely on Wi-Fi,2023-05-04,Streaming,5
296,217,no matter the hour.,2023-08-30,Broadband,4
297,660,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2023-06-20,Broadband,
298,330,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2023-10-30,Mobile,2
299,850,forcing me to rely on Wi-Fi,2023-06-30,Streaming,3
300,19,I've enjoyed blazing-fast internet speeds on all my devices.,2023-01-11,Mobile,4
301,831,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2023-06-14,Streaming,4
302,511,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-05-31,Broadband,2
303,333,Neon's response to my lost phone situation was above and beyond—I had a new device and was back up and running in no time.,2023-06-07,Streaming,1
304,510,no matter the hour.,2022-11-27,Mobile,3
305,505,Despite the quality service,2023-03-08,Broadband,4
306,643,Neon's 24/7 customer support has never let me down—there's always someone ready to help,2023-07-21,Streaming,2
307,22,Despite the quality service,2023-08-29,Mobile,5
308,748,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2023-06-06,Mobile,3
309,237,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2023-07-08,Broadband,
310,162,Neon's signal quality indoors is often weak,2023-07-05,Streaming,3
311,313,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2022-12-23,Broadband,4
312,509,forcing me to rely on Wi-Fi,2023-04-22,Streaming,4
313,917,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2023-05-26,,5
314,348,Neon's 24/7 customer support has never let me down—there's always someone ready to help,2023-09-08,Broadband,2
315,528,no matter the hour.,2023-04-23,Streaming,1
316,286,and there are no significant benefits for long-term customers like me.,2023-03-09,Broadband,5
317,253,and there are no significant benefits for long-term customers like me.,2023-04-08,Mobile,5
318,618,Neon's 24/7 customer support has never let me down—there's always someone ready to help,2023-04-13,Streaming,5
319,436,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2023-08-27,Streaming,3
320,302,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2023-05-14,Streaming,2
321,58,forcing me to rely on Wi-Fi,2023-05-27,Broadband,4
322,523,and there are no significant benefits for long-term customers like me.,2023-07-02,Broadband,1
323,624,Despite the quality service,2023-09-08,Mobile,4
324,432,Ever since Neon updated their network in my area,2023-07-26,Broadband,5
